employee_name,user_id,email,role,1,functional_unit,department,team,supervisor,date,pc,activity
Calvin Edan Love,CEL0561,Calvin.Edan.Love@dtaa.com,ComputerProgrammer,1,2 - ResearchAndEngineering,2 - SoftwareManagement,3 - Software,Stephanie Briar Harrington,01-02-2010 06:49,PC-6056,Logon
Christine Reagan Deleon,CRD0624,Christine.Reagan.Deleon@dtaa.com,Salesman,1,5 - SalesAndMarketing,2 - Sales,3 - RegionalSales,Winter Veda Burks,01-02-2010 06:50,PC-4275,Logon
Jade Felicia Caldwell,JFC0557,Jade.Felicia.Caldwell@dtaa.com,SoftwareEngineer,1,2 - ResearchAndEngineering,2 - SoftwareManagement,3 - Software,Stephanie Briar Harrington,01-02-2010 06:53,PC-4124,Logon
Aquila Stewart Dejesus,ASD0577,Aquila.Stewart.Dejesus@dtaa.com,ProductionLineWorker,1,3 - Manufacturing,3 - Assembly,3 - AssemblyDept,Whilemina Pandora England,01-02-2010 07:00,PC-7188,Logon
Micah Abdul Rojas,MAR0955,Micah.Abdul.Rojas@dtaa.com,ProductionLineWorker,1,3 - Manufacturing,3 - Assembly,6 - AssemblyDept,Sandra Beverly Diaz,01-02-2010 07:00,PC-6699,Logon
Gail Rhiannon Mcconnell,GRM0868,Gail.Rhiannon.Mcconnell@dtaa.com,Salesman,1,5 - SalesAndMarketing,2 - Sales,5 - RegionalSales,Hashim Damon Dudley,01-02-2010 07:07,PC-5758,Logon
April Alika Levy,AAL0706,April.Alika.Levy@dtaa.com,ProductionLineWorker,1,3 - Manufacturing,3 - Assembly,4 - AssemblyDept,Alan Benjamin Holder,01-02-2010 07:08,PC-9822,Logon
Rama Vielka Clayton,RVC0232,Rama.Vielka.Clayton@dtaa.com,Mathematician,1,2 - ResearchAndEngineering,1 - Research,1 - Lab,Jackson Linus Wilkerson,01-02-2010 07:08,PC-3446,Logon
Tasha Casey Dalton,TCD0009,Tasha.Casey.Dalton@dtaa.com,AdministrativeAssistant,1,1 - Adminstration,,,Halla Cathleen Simmons,01-02-2010 07:13,PC-8893,Logon
Aurora Sarah Manning,ASM0575,Aurora.Sarah.Manning@dtaa.com,ProductionLineWorker,1,3 - Manufacturing,3 - Assembly,3 - AssemblyDept,Whilemina Pandora England,01-02-2010 07:14,PC-6184,Logon
Devin Abdul Rogers,DAR0885,Devin.Abdul.Rogers@dtaa.com,Technician,1,5 - SalesAndMarketing,3 - FieldService,5 - RegionalFieldService,Blythe Veda Cooke,01-02-2010 07:24,PC-4124,Logon
Jacqueline Latifah Miles,JLM0364,Jacqueline.Latifah.Miles@dtaa.com,ITAdmin,1,1 - Adminstration,6 - Security,3 - ElectronicSecurity,Francis Brian Armstrong,01-02-2010 07:33,PC-1313,Logon
Ferris Omar Barry,FOB0756,Ferris.Omar.Barry@dtaa.com,Technician,1,5 - SalesAndMarketing,3 - FieldService,4 - RegionalFieldService,Blaine Helen Cervantes,01-02-2010 07:33,PC-8370,Logon
Grant Camden Gay,GCG0951,Grant.Camden.Gay@dtaa.com,ProductionLineWorker,1,3 - Manufacturing,3 - Assembly,6 - AssemblyDept,Sandra Beverly Diaz,01-02-2010 07:34,PC-7979,Logon
Howard Wing Yang,HWY0038,Howard.Wing.Yang@dtaa.com,ITAdmin,1,1 - Adminstration,6 - Security,2 - ElectronicSecurity,Frances Alisa Wiggins,01-02-2010 07:37,PC-5156,Logon
Aspen Amber Vinson,AAV0450,Aspen.Amber.Vinson@dtaa.com,ProductionLineWorker,1,3 - Manufacturing,3 - Assembly,2 - AssemblyDept,Armando Albert Walter,01-02-2010 07:37,PC-4736,Logon
Colorado John Valentine,CJV0286,Colorado.John.Valentine@dtaa.com,Technician,1,2 - ResearchAndEngineering,3 - Engineering,5 - TestAndEvalualtion,Rose Hanae Yates,01-02-2010 07:37,PC-1917,Logon
